maxChars,matches,falsePositives,runs,timestamp
1000,9.9,0,10,2025-04-14T22:10:29.399Z
2000,9.7,0,10,2025-04-14T22:10:42.142Z
4000,9.6,0.1,10,2025-04-14T22:11:02.293Z
8000,9.4,0,10,2025-04-14T22:11:20.213Z
16000,9.1,0.2,10,2025-04-14T22:11:48.751Z
32000,8.8,0.2,10,2025-04-14T22:12:19.885Z
64000,8.9,0.5,10,2025-04-14T22:13:05.921Z
128000,8.3,0.1,10,2025-04-14T22:13:51.209Z
256000,6.1,0.5,10,2025-04-14T22:15:37.043Z
