maxChars,matches,falsePositives,runs,timestamp
1000,9.8,0,10,2025-04-14T22:12:07.930Z
2000,9.8,0,10,2025-04-14T22:12:35.325Z
4000,9.5,0,10,2025-04-14T22:13:01.714Z
8000,9.4,0,10,2025-04-14T22:13:34.144Z
16000,9.1,0,10,2025-04-14T22:14:07.482Z
32000,10,0,10,2025-04-14T22:14:47.057Z
64000,8.6,0.3,10,2025-04-14T22:15:30.411Z
128000,8.6,0.9,10,2025-04-14T22:16:36.523Z
256000,8.7,0.8,10,2025-04-14T22:18:27.281Z
512000,7.3,2.1,10,2025-04-14T22:21:48.131Z
