maxChars,matches,falsePositives,runs,timestamp
1000,9.9,0,10,2025-04-14T21:26:00.896Z
2000,9.7,0,10,2025-04-14T21:26:26.648Z
4000,9.8,0,10,2025-04-14T21:26:56.678Z
8000,9.3,0,10,2025-04-14T21:27:27.740Z
16000,9.2,0,10,2025-04-14T21:28:02.105Z
32000,9.6,0.1,10,2025-04-14T21:28:40.593Z
64000,9.3,0.1,10,2025-04-14T21:29:33.687Z
128000,9.3,0.5,10,2025-04-14T21:32:36.794Z
256000,8.8,1,10,2025-04-14T21:34:29.408Z
512000,8.9,1,10,2025-04-14T21:37:53.322Z
